,mass_1,mass_2,dec,ra,time_jitter,phase,geocent_time,a_1,a_2,tilt_1,tilt_2,phi_12,phi_jl,theta_jn,psi,luminosity_distance,log_likelihood,log_prior,reference_frequency,waveform_approximant,minimum_frequency,H1_log_likelihood,L1_log_likelihood,V1_log_likelihood,H1_matched_filter_snr,H1_optimal_snr,L1_matched_filter_snr,L1_optimal_snr,V1_matched_filter_snr,V1_optimal_snr,chirp_mass,total_mass,symmetric_mass_ratio,mass_ratio,iota,spin_1x,spin_1y,spin_1z,spin_2x,spin_2y,spin_2z,phi_1,phi_2,chi_eff,chi_1_in_plane,chi_2_in_plane,chi_p,cos_tilt_1,cos_tilt_2,redshift,comoving_distance,mass_1_source,mass_2_source,chirp_mass_source,total_mass_source
0,22.9302296721682,42.1611663966124,-1.2077690610321596,1.3882524459307222,0.00010020027179533753,1.3,1126259642.411344,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,568.4131326220386,-2.744139464595434,100.0,IMRPhenomPv2,20.0,256.69335642409396,159.4751373409907,140.21427869851902,(22.891936393042737+1.0903950840309669j),22.8146093154568,(18.167906990664658+0.9422402279552735j),18.48552364789226,(17.179955022238854+1.9006045053223006j),18.450311732341454,26.82179852184184,65.0913960687806,0.22817804208540393,1.838671788263244,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,19.43144747084267,35.728054269757585,22.729225851727538,55.15950174060025
1,22.71798871773686,42.326876430479615,-1.2418418882910611,1.3566846722819603,0.0002329517735424957,1.3,1126259642.4108913,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,569.255789731255,-2.8387367212533716,100.0,IMRPhenomPv2,20.0,256.92250183232295,157.98527844667166,142.31770787935676,(22.946677254496162-1.3598407313480223j),22.840828371255895,(18.09552607991835+1.6317391630536555j),18.429016200236713,(17.292761064664813+0.9363556026596194j),18.77159861783354,26.739239819490376,65.04486514821647,0.2272793949424614,1.8631436504514725,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,19.251591053521224,35.86847963245644,22.65926427214726,55.120070685977666
2,42.504664527799505,22.507334211686192,-1.217309653691218,1.347797965510813,0.00021803725693421568,1.3,1126259642.411323,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,569.4098113017167,-2.7696224244016383,100.0,IMRPhenomPv2,20.0,256.593876794259,158.9287335736778,141.85711368807614,(22.86862517368223-2.9767280293226834j),22.4557403951471,(18.156459969704812-1.0966471873937507j),18.214187444636316,(17.26992782377867+2.579112132183239j),18.52642763170843,26.659849163917073,65.0119987394857,0.22634641282424137,0.5295262169865057,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,36.019140141461534,19.073079018214916,22.591987346643073,55.09221915967645
3,22.680901384066285,42.29761762572127,-1.2274403331899026,1.3724461643850445,8.041899805849708e-05,1.3,1126259642.4111023,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,569.495909714016,-2.797514200587293,100.0,IMRPhenomPv2,20.0,258.82058753875805,155.9915333537725,142.6712673113182,(23.027015260489026-0.8615914592969609j),22.77940167456216,(18.163404495743197+0.8922417199560273j),18.409305685492534,(17.300806397672215+0.6853053751871141j),18.580015426790403,26.70740969085909,64.97851900978756,0.2272147912751513,1.8649002043382659,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,19.220162647161732,35.843685248106624,22.632290906361934,55.06384789526836
4,42.44720200093448,22.266659388365284,-1.1776741306914027,1.3805961145784265,-7.149765621039568e-05,1.3,1126259642.4119596,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,569.8113027075073,-2.668326325345908,100.0,IMRPhenomPv2,20.0,260.26790080677824,156.10427140415734,141.4233017798635,(23.092816860213162-1.6977712192978005j),22.180205097389752,(17.87765854360619-2.9270171832433296j),18.101017028618802,(17.31247213742685+2.3949460359156114j),17.936746881192946,26.491284543912066,64.71386138929977,0.22568853900027233,0.5245730775817704,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,35.97044546686458,18.869127280540393,22.44914296148432,54.83957274740497
5,22.692424941589323,42.40730153427266,-1.1960783097606487,1.3901314606761737,1.286954662082715e-05,1.3,1126259642.4115953,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,570.2675510988643,-2.71389430007408,100.0,IMRPhenomPv2,20.0,255.35470267146593,158.3282363749681,144.55425181798554,(22.88618570722268-1.058475436792633j),22.625844703549756,(18.118648380995534-1.5480966536907512j),18.37321049832623,(17.380657199219023+0.8920191192018706j),18.254452153304513,26.747124226025726,65.09972647586198,0.22707180815935807,1.8687866829318487,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,19.229927896175262,35.936633166111996,22.665945645758462,55.16656106228726
6,42.135231356839355,22.451088047550027,-1.2155592989804906,1.3723004847169082,0.00018457899615808752,1.3,1126259642.4112148,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,570.3903251350501,-2.7648914633034734,100.0,IMRPhenomPv2,20.0,261.3865231616881,156.63366857990724,140.3397735117314,(23.061960364172858-0.5350070825003556j),22.52928836062064,(18.057611596527074+0.4938265929755998j),18.248804793005352,(17.154792266450997+1.2456580701786293j),18.36866450392661,26.515606075865087,64.58631940438939,0.22677840891878287,0.5328340992698924,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,35.70607649761098,19.025415109066422,22.469753421009248,54.73149160667741
7,42.64161446780605,22.12962416528371,-1.217422829668094,1.3527767304739138,-7.174824899207241e-05,1.3,1126259642.4115293,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,570.7091071928377,-2.7699292004522205,100.0,IMRPhenomPv2,20.0,258.4572776115665,156.52176356882842,143.6998276712502,(22.985840331488063-2.805703621986111j),22.304359508337544,(18.034854084629934-1.0476641157094677j),18.08486325916023,(17.34615278067852+2.079157721101866j),18.350736191738793,26.461116573671898,64.77123863308975,0.22492787125405475,0.5189677839705467,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,36.13519373549082,18.753001416254055,22.423578135601424,54.888195151744874
8,22.26432716685685,42.48006409232588,-1.186933049354193,1.395013960061319,-0.0001320064709640046,1.3,1126259642.4119725,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,570.9124011810319,-2.6909491300328936,100.0,IMRPhenomPv2,20.0,256.8402180360087,156.90708808515726,145.13473560161074,(22.954621237494642+0.340939235872672j),22.361223182750265,(18.054596989097323-1.0598463059931462j),18.18536550643424,(17.3841571033625+1.822727065175144j),17.972248258911506,26.499422697303118,64.74439125918273,0.22562667050978993,1.9079877767679683,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,18.867150918315534,35.998293334582584,22.456039364284848,54.86544425289812
9,42.4981350908954,21.878116649502147,-1.2202296979665421,1.3597633908463571,-8.949133484465106e-05,1.3,1126259642.411487,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,900,571.0424429351173,-2.777571915144974,100.0,IMRPhenomPv2,20.0,260.75598423210494,154.06271366242467,144.1933848977495,(23.061334608823866-2.0075022042049304j),22.226425820478294,(17.90347795431681-0.2810906296887963j),18.00280155039189,(17.37640307009092+1.2127514633740113j),18.225543355390958,26.259275911929674,64.37625174039755,0.22435121871795963,0.5148018048958861,0.4,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.18005772377871132,762.6745565728387,36.01360699102954,18.53986987979311,22.252535094506875,54.55347687082265
